"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"157","Andres Borregales","K","NE",121,12.6,0.506,101,137,-26,-36.8,-20.6,156,453,337,27,4,170,0,52,146,-25,-9999
"158","Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,158,91,74,30,5,77.3,8.89,74,236,-26,-11
"159","Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,158,91,74,30,5,77.3,8.89,93,236,-26,-11
"160","Joey Slye","K","TEN",120,5.7,1.11,111,129,-26.5,-27,-28.7,158,379,418,28,4,170,0,1,146,-26,-9999
"161","George Pickens","WR","DAL",209,13,2.24,188,226,8.37,15.8,-13.8,161,78,254,32,6,67.6,11.6,25,236,-27,-12
"162","Graham Gano","K","NYG",119,19.7,0.465,83.9,143,-27.6,-54,-13.9,161,508,255,29,4,170,0,94,146,-27,-9999
"163","Nick Folk","K","NYJ",119,16.7,3.49,92.6,136,-28,-45.3,-21.8,161,484,347,29,4,170,0.1,90,146,-27,-9999
"164","Cam Ward","QB","TEN",238,21.8,0.352,202,264,-43.7,-61.4,-43.8,161,515,501,27,7,150,4.99,57,265,-27,-9999
"165","Aaron Rodgers","QB","PIT",238,22.9,45.3,219,280,-44.1,-45,-28,161,480,412,27,8,149,8.01,34,265,-27,-9999
"166","David Montgomery","RB","DET",192,13.6,0.779,173,211,43.7,59.5,24.7,166,42,59,25,7,61.3,13.3,4,220,-28,-29
"167","Tyrone Tracy","RB","NYG",191,22,8.39,159,225,42.9,45.9,38.8,167,53,46,26,7,83.2,8.3,30,220,-29,-30
"168","Jaylen Waddle","WR","MIA",207,20.3,2.53,172,229,6.13,0,-10.8,167,130,224,33,6,79.7,11,51,236,-29,-14
"169","Chigoziem Okonkwo","TE","TEN",133,11.9,0.896,117,152,-13.4,-15,-23.4,169,254,370,20,7,172,2.13,40,163,-30,-88
"170","Brenton Strange","TE","JAC",133,14.4,4.07,117,154,-14.3,-14.6,-20.9,169,251,339,20,7,170,2.69,43,163,-30,-88
"171","Ryan Fitzgerald","K","CAR",115,21.6,11.9,81.1,136,-31.5,-56.8,-21.2,171,510,344,31,5,170,0,97,146,-31,-9999
"172","Deebo Samuel","WR","WAS",204,19.6,0.443,184,238,3.6,12.3,-1.4,172,85,140,34,6,90.1,7.9,47,236,-32,-17
"173","Chris Olave","WR","NO",204,24.1,0.462,171,245,3.16,-1.16,5.49,172,138,97,34,6,89.8,7.19,56,236,-32,-17
"174","Rome Odunze","WR","CHI",203,20.3,2.69,178,231,2.69,5.96,-8.5,174,103,203,36,6,87.1,7.12,54,236,-33,-18
"175","Jakobi Meyers","WR","LVR",201,12.4,3.21,181,217,0,9.05,-23.1,175,98,369,37,6,99,6,11,236,-35,-20
"176","Cade Otton","TE","TB",128,15.7,1.71,109,152,-18.3,-22.7,-22.9,175,348,363,22,7,160,1.65,51,163,-35,-93
"177","Dalton Schultz","TE","HOU",127,18.2,0.462,96.8,147,-20,-34.7,-28,177,439,411,23,7,177,2.42,69,163,-36,-94
"178","Isiah Pacheco","RB","KC",183,24.6,6.44,143,212,34.5,29.4,26.1,178,64,56,27,8,64.3,14.4,43,220,-37,-38
"179","Mike Gesicki","TE","CIN",126,10.4,1.15,115,140,-20.5,-16.8,-35,178,275,460,24,8,156,2.02,26,163,-37,-95
"180","Pat Freiermuth","TE","PIT",125,16.3,0.0391,99,149,-21.6,-32.5,-26,180,428,398,25,8,163,2.47,60,163,-38,-96
"181","Darren Waller","TE","MIA",125,15.9,3.44,95.1,141,-21.7,-36.4,-34.8,180,451,458,25,8,159,2.36,71,163,-38,-96
"182","Stefon Diggs","WR","NE",197,14.2,2.64,181,222,-3.21,9.06,-17.5,182,97,299,38,6,96.7,8.36,32,236,-39,-24
"183","Michael Pittman","WR","IND",195,15,0.186,170,212,-5.85,-2.25,-27.9,183,145,410,39,6,115,5.26,35,236,-41,-26
"184","Juwan Johnson","TE","NO",122,18.8,0.746,85.9,142,-25.1,-45.6,-33.3,183,486,446,27,8,170,1.45,77,163,-41,-99
"185","Cooper Kupp","WR","SEA",194,28.2,1.5,168,241,-6.04,-4.28,1.29,185,158,117,40,6,104,7.32,64,236,-42,-27
"186","Isaiah Likely","TE","BAL",121,19.1,1.29,95.9,146,-25.9,-35.6,-29.1,185,447,422,28,8,158,3.1,66,163,-42,-100
"187","Andre Szmyt","K","CLE",104,18.9,26.8,83,127,-43.4,-54.9,-30.5,185,509,430,32,6,170,0,77,146,-42,-9999
"188","Ricky Pearsall","WR","SF",193,28,0.988,153,241,-7.54,-18.7,1.09,188,295,120,41,6,88.5,8.59,72,236,-43,-28
"189","Mason Taylor","TE","NYJ",120,14.1,2.66,98.4,143,-27.2,-33.1,-32.5,188,431,443,29,8,162,2.01,57,163,-43,-101
"190","Jaylen Warren","RB","PIT",176,20.6,8.66,149,204,28.1,36.2,17.5,190,59,66,28,8,92.6,6.69,29,220,-44,-45
"191","Jauan Jennings","WR","SF",192,20.6,1.5,163,226,-8.53,-8.54,-13.3,190,196,249,42,6,115,4.85,42,236,-44,-29
"192","Matthew Golden","WR","GB",191,27.8,6.57,144,233,-10,-28.4,-7.02,192,393,192,43,7,95.7,8.06,76,236,-45,-30
"193","Tyler Higbee","TE","LAR",117,21.2,5.23,92.4,153,-29.8,-39.1,-22.3,193,463,356,30,8,183,1.42,89,163,-46,-104
"194","Theo Johnson","TE","NYG",112,26.9,0.632,58.2,141,-35.1,-73.3,-34.7,194,538,457,31,8,184,1.02,91,163,-51,-109
"195","Austin Ekeler","RB","WAS",168,16.2,2.9,137,186,19.4,23.6,0,195,67,130,29,8,109,6.94,49,220,-52,-53
"196","Jordan Addison","WR","MIN",184,27.5,0.881,156,240,-16.6,-16.5,0,195,271,130,44,7,104,4.25,62,236,-52,-37
"197","Robbie Ouzts","TE","SEA",111,,8.02,,,-35.7,,,195,,,32,9,,,99,163,-52,-110
"198","Khalil Shakir","WR","BUF",183,21.1,2.51,154,219,-17.5,-18.4,-21.1,198,292,343,45,7,115,4.28,44,236,-53,-38
"199","Kaleb Johnson","RB","PIT",165,23.9,12.3,125,197,16.5,11.3,10.7,199,90,81,30,9,82.3,8.06,65,220,-55,-56
"200","Rashee Rice","WR","KC",181,35.3,0.403,140,244,-20,-32,3.95,199,424,105,46,7,77.6,9.41,89,236,-55,-40
"201","Josh Downs","WR","IND",180,20.6,0.171,161,215,-20.4,-11.4,-24.4,201,219,380,47,7,133,2.62,38,236,-56,-41
"202","Emeka Egbuka","WR","TB",180,23.1,0.631,158,223,-20.6,-14.2,-16.4,201,247,286,47,7,91.7,11.1,68,236,-56,-41
"203","Chris Godwin","WR","TB",179,33.4,4.01,153,246,-21.2,-19,6.04,203,296,96,49,7,112,5.38,83,236,-57,-42
"204","Elijah Arroyo","TE","SEA",103,31.3,3.5,53.7,141,-43.7,-77.8,-34.4,204,548,454,33,9,166,3.04,97,163,-60,-118
"205","Jayden Reed","WR","GB",175,27.8,2.87,128,220,-25.2,-43.6,-20,205,477,330,50,7,125,2.51,67,236,-61,-46
"206","Ja'Tavion Sanders","TE","CAR",99.6,15.2,4.98,78.1,118,-47.2,-53.4,-57.4,206,506,532,34,10,178,1.34,49,163,-63.4,-121.4
"207","Rashid Shaheed","WR","NO",172,11.1,4.63,156,187,-28.1,-16.1,-52.6,207,266,526,51,7,144,2.64,14,236,-64,-49
"208","Zach Charbonnet","RB","SEA",153,18.7,0.583,129,180,4.21,16.2,-5.59,208,76,179,31,9,110,5.85,25,220,-67,-68
"209","Travis Etienne","RB","JAC",152,22.5,3.09,125,188,3.63,12.1,1.72,209,86,112,32,9,107,7.37,42,220,-68,-69
"210","Keon Coleman","WR","BUF",168,18.6,8.21,141,195,-32.7,-30.6,-45.1,209,415,503,52,8,117,3.27,53,236,-68,-53
"211","Will Dissly","TE","LAC",94.6,17.4,4.56,65.1,109,-52.2,-66.4,-66,211,526,555,35,10,170,1.09,80,163,-68.4,-126.4
"212","Javonte Williams","RB","DAL",149,13.9,0.268,133,169,0.54,19.4,-17.4,212,70,298,33,9,116,6.29,17,220,-71,-72
"213","J.K. Dobbins","RB","DEN",149,29.1,0.273,113,198,0.273,-0.194,12.5,212,134,75,33,9,102,6.36,77,220,-71,-72
"214","Joe Mixon","RB","HOU",148,38.2,5.08,113,223,0,0,36.7,214,130,48,35,9,103,7.4,99,220,-72,-73
"215","Russell Wilson","QB","NYG",193,48.6,2.46,116,245,-89.4,-148,-62.9,214,740,549,29,8,159,4.11,80,265,-72,-9999
"216","Noah Fant","TE","CIN",90,16.4,1.52,71.2,113,-56.7,-60.3,-62.6,216,512,547,36,10,170,1.34,83,163,-73,-131
"217","Daniel Jones","QB","IND",190,75.2,30.1,46.6,279,-91.9,-217,-28.9,217,798,420,30,9,150,5.31,89,265,-75,-9999
"218","Marvin Mims","WR","DEN",160,30,4.64,126,207,-40.9,-46.4,-32.9,218,489,445,53,8,140,2.52,79,236,-76,-61
"219","Rhamondre Stevenson","RB","NE",143,24.2,7.09,112,176,-5.08,-1.54,-10.1,219,142,216,36,10,116,4.29,55,220,-77,-78
"220","Rashod Bateman","WR","BAL",155,20.8,1.2,124,181,-45.6,-48.1,-59,220,494,538,54,8,145,3.14,58,236,-81,-66
"221","Xavier Legette","WR","CAR",154,19.4,0.228,119,176,-46.8,-52.8,-63.7,221,503,551,55,8,157,1.44,65,236,-82,-67
"222","Keenan Allen","WR","LAC",154,30.3,0.256,118,193,-47,-53.8,-47,221,507,513,55,8,132,3.99,92,236,-82,-67
"223","Wan'Dale Robinson","WR","NYG",153,25.6,0.106,114,180,-47.2,-58,-59.6,223,511,540,57,8,165,2,81,236,-83,-68
"224","Darnell Mooney","WR","ATL",153,63.7,7.45,18.2,203,-47.4,-154,-36.9,223,750,474,57,8,137,2.98,97,236,-83,-68
"225","Jerome Ford","RB","CLE",136,28.6,1.59,115,195,-12.2,1.6,9.11,225,120,87,37,10,137,3.75,81,220,-84,-85
"226","Rachaad White","RB","TB",135,18.3,9.02,107,156,-13.8,-5.96,-29.5,226,174,426,38,10,137,2.77,51,220,-85,-86
"227","Demario Douglas","WR","NE",146,21,0.235,109,169,-54.8,-63.1,-70.2,227,519,563,59,9,163,2.22,71,236,-90,-75
"228","Cedric Tillman","WR","CLE",145,23,2.29,101,166,-55,-70.9,-74,228,535,568,60,9,169,2.55,60,236,-91,-76
"229","Christian Kirk","WR","HOU",143,18.8,1.98,124,174,-57.3,-48,-65.9,229,493,554,61,9,143,2.67,50,236,-93,-78
"230","Quinshon Judkins","RB","CLE",126,39.8,1.97,80.7,198,-22.8,-32.5,12,230,429,77,39,10,120,3.83,94,220,-94,-95
"231","Marquise Brown","WR","KC",141,36.3,1.59,71,182,-59.3,-101,-57.3,231,603,531,62,9,158,3.56,82,236,-95,-80
"232","Cam Skattebo","RB","NYG",124,20.5,0.217,101,162,-24.8,-12.3,-23.8,232,227,374,40,10,118,4.02,54,220,-96,-97
"233","Brandon Aiyuk","WR","SF",140,49.7,0.222,82.7,237,-60.9,-89.3,-2.93,232,571,151,63,9,141,3.74,96,236,-96,-81
"234","Jacory Croskey-Merritt","RB","WAS",123,49.1,1.78,24.3,164,-25,-88.9,-22.3,234,569,355,41,10,99,10.8,96,220,-97,-98
"235","Jayden Higgins","WR","HOU",139,44.5,2.54,60.1,196,-61.1,-112,-43.6,234,642,500,64,9,140,2.71,99,236,-97,-82
"236","Jordan Mason","RB","MIN",122,19.6,4.63,82.5,139,-26.8,-30.8,-46.7,236,417,511,42,11,100,7.64,35,220,-98,-99
"237","Romeo Doubs","WR","GB",137,23.8,7.63,110,168,-63.7,-61.9,-71.4,237,517,564,65,9,174,1.6,69,236,-99,-84
"238","Tank Bigsby","RB","JAC",117,23.3,0.563,87.6,155,-31.4,-25.6,-30.5,238,370,431,43,11,115,3.5,58,220,-103,-104
"239","Najee Harris","RB","LAC",116,23.3,4.34,90.6,151,-31.9,-22.7,-34.6,239,347,455,44,11,130,4.41,72,220,-104,-105
"240","Spencer Rattler","QB","NO",160,78.9,30.1,23.3,246,-122,-241,-61.9,240,801,545,31,10,170,1.88,91,265,-105,-9999
"241","Michael Wilson","WR","ARI",129,20.1,1.78,110,160,-71.3,-62.4,-79.2,241,518,576,66,9,184,1.55,75,236,-107,-92
"242","Nick Chubb","RB","HOU",112,31.4,0.688,73.5,157,-36.3,-39.7,-28.9,242,467,419,45,11,124,5.21,88,220,-108,-109
"243","Jaydon Blue","RB","DAL",111,17.6,2.23,90.7,140,-37,-22.6,-45.6,243,346,507,46,11,138,3.39,48,220,-109,-110
"244","Adam Thielen","WR","MIN",127,41.3,4.29,81.7,186,-73.1,-90.3,-53.5,243,573,529,67,10,152,2.59,94,236,-109,-94
"245","Tyjae Spears","RB","TEN",109,31.3,2.48,62.3,152,-39.2,-50.9,-33.6,245,499,448,47,11,150,1.84,87,220,-111,-112
"246","Trey Benson","RB","ARI",107,14.6,0.785,91.1,125,-41.7,-22.1,-60.7,246,339,541,48,11,138,3.31,33,220,-113,-114
"247","Quentin Johnston","WR","LAC",123,39.4,1.91,70.2,177,-77.4,-102,-62.6,246,608,546,68,10,167,2.39,90,236,-113,-98
"248","Ray Davis","RB","BUF",106,29.2,0.339,73.1,160,-42.5,-40.1,-25.8,248,469,395,49,11,144,1.99,71,220,-114,-115
"249","Rico Dowdle","RB","CAR",106,18.9,2.61,85.7,139,-42.8,-27.5,-46.8,248,386,512,49,11,161,2.54,59,220,-114,-115
"250","Luther Burden","WR","CHI",121,34.6,1.59,76.3,182,-79.3,-95.7,-58.1,250,588,534,69,10,155,2.87,85,236,-115,-100
"251","Josh Palmer","WR","BUF",120,24.2,0.00376,86.5,150,-80.9,-85.5,-89.7,251,563,593,70,10,162,2.28,78,236,-116,-101
"252","Ray-Ray McCloud","WR","ATL",120,29.4,1.72,74,165,-80.9,-98,-75,251,596,570,70,10,193,1.68,99,236,-116,-101
"253","Braelon Allen","RB","NYJ",103,19.9,2.56,75.5,133,-45.4,-37.7,-53.4,253,460,528,51,11,132,4.68,57,220,-117,-118
"254","Tyler Lockett","WR","TEN",118,32.2,0.495,96.7,181,-82.6,-75.3,-58.4,254,544,536,72,10,175,2.28,86,236,-118,-103
"255","Alec Pierce","WR","IND",117,37.5,2.47,71.2,171,-83.1,-101,-68.7,255,601,559,73,10,177,1.81,88,236,-119,-104
"256","Tyler Allgeier","RB","ATL",100,7.03,2.86,91.7,113,-48,-21.5,-73.3,256,328,566,52,12,149,2.44,1,220,-120,-121
"257","Bhayshul Tuten","RB","JAC",97.5,18.3,0.121,67.7,125,-50.8,-45.6,-61.2,257,485,543,53,12,143,2.63,70,220,-122.5,-123.5
"258","Kareem Hunt","RB","KC",97.4,14.7,4.39,77.7,122,-51,-35.5,-63.7,258,446,550,54,12,163,2.88,38,220,-122.6,-123.6
"259","Justice Hill","RB","BAL",93,21.3,0.609,49,112,-55.4,-64.2,-74.1,259,522,569,55,12,173,2.08,74,220,-127,-128
"260","Brian Robinson","RB","SF",92.4,23.2,2.59,71.9,128,-56,-41.3,-57.6,260,471,533,56,12,125,3.83,78,220,-127.6,-128.6
"261","Dylan Sampson","RB","CLE",89.8,40.6,9.55,20.9,140,-58.5,-92.3,-45.5,261,580,506,57,12,148,3.06,93,220,-130.2,-131.2
"262","Joe Flacco","QB","CLE",130,63.7,14.1,42.2,218,-152,-222,-90.1,262,799,595,32,11,168,3.89,86,265,-135,-9999
"263","Roschon Johnson","RB","CHI",80.3,11.5,0.479,68.7,101,-68.1,-44.5,-84.6,263,479,584,58,12,175,2.01,36,220,-139.7,-140.7
"264","Audric Estime","RB","FA",79.8,,1.27,,,-68.6,,,264,,,59,13,,,99,220,-140.2,-141.2
"265","Khalil Herbert","RB","FA",78.5,18.2,4,66.1,91.2,-69.8,-47.1,-94.8,265,491,602,60,13,,,68,220,-141.5,-142.5
"266","Antonio Gibson","RB","NE",74.5,29.4,0.327,31.3,100,-73.8,-81.9,-85.7,266,557,587,61,13,,2.38,83,220,-145.5,-146.5
"267","Kendre Miller","RB","NO",74.2,18,1.43,51.7,103,-74.2,-61.5,-83.2,267,516,580,62,13,174,2.77,52,220,-145.8,-146.8
"268","Ty Johnson","RB","BUF",72.8,19.9,0.629,52.4,102,-75.6,-60.8,-84.4,268,513,583,63,13,170,1.12,67,220,-147.2,-148.2
"269","Jaylen Wright","RB","MIA",72.1,25.3,3.88,38.1,101,-76.2,-75.2,-85.2,269,542,586,64,13,165,1.3,86,220,-147.9,-148.9
"270","Anthony Richardson","QB","IND",116,96.9,37.6,8.02,262,-166,-256,-46,270,803,508,33,12,168,2.34,94,265,-149,-9999
"271","Raheem Mostert","RB","LVR",68.3,27.2,2.41,37.9,116,-80.1,-75.3,-69.6,271,543,561,65,13,177,2.06,84,220,-151.7,-152.7
"272","Ollie Gordon","RB","MIA",65.9,35,1.06,25.2,124,-82.5,-88.1,-61.6,272,567,544,66,13,141,4.71,90,220,-154.1,-155.1
"273","Gus Edwards","RB","FA",64.8,,1.22,,,-83.6,,,273,,,67,13,,,80,220,-155.2,-156.2
"274","Woody Marks","RB","HOU",63.6,38.1,0.177,5.51,120,-84.8,-108,-66.2,274,627,556,68,13,171,3.17,97,220,-156.4,-157.4
"275","Alexander Mattison","RB","MIA",63.4,,0.1,,,-85,,,275,,,69,13,,,,220,-156.6,-157.6
"276","Ameer Abdullah","RB","FA",63.3,,0.227,,,-85.1,,,276,,,70,13,,,,220,-156.7,-157.7
"277","Samaje Perine","RB","CIN",63.1,14.4,0.173,48.2,87.3,-85.3,-65.1,-98.7,277,525,610,71,13,171,1.38,75,220,-156.9,-157.9
"278","Cam Akers","RB","FA",62.9,,0.125,,,-85.5,,,278,,,72,13,,,91,220,-157.1,-158.1
"279","Kirk Cousins","QB","ATL",78.5,102,2.95,0.118,219,-204,-264,-88.6,279,839,592,34,12,170,1.92,97,265,-186.5,-9999
"280","Tyler Shough","QB","NO",75.5,51.8,17.1,3.58,142,-207,-260,-166,280,815,741,35,13,182,3.32,83,265,-189.5,-9999
"281","Deshaun Watson","QB","CLE",58.5,29.6,6.76,38.2,78.9,-224,-226,-229,281,800,802,36,14,,2.21,99,265,-206.5,-9999
"282","Brian Branch","DB","DET",107,8.2,3.58,102,113,17.8,17.9,15.1,,72,70,,1,,6.48,16,,,-9999
"283","Kerby Joseph","DB","DET",104,8.84,0.657,98.1,110,14.2,13.9,12,,80,76,,1,,11.9,63,,,-9999
"284","Jessie Bates","DB","ATL",103,4.17,2.58,100,106,13.6,16.2,7.95,,77,90,,1,,13.7,12,,,-9999
"285","Zack Baun","LB","PHI",101,9.12,1.36,95.1,108,11.7,7.87,16.7,,100,67,,1,,14.7,42,,,-9999
"286","Maxx Crosby","DL","LVR",53.9,3.25,1.22,51.5,56,11,11.4,10.1,,89,83,,1,,17.2,8,,,-9999
"287","Julian Love","DB","SEA",101,0.849,0.545,100,101,11,15.7,2.93,,79,110,,1,,7.15,1,,,-9999
"288","Kyle Hamilton","DB","BAL",100,4.6,1.91,97.1,103,10.5,12.8,5.14,,83,99,,1,,14.8,11,,,-9999
"289","Zaire Franklin","LB","IND",99.6,2.12,2.26,98.1,101,10.4,10.8,10,,93,84,,1,,17.1,1,,,-9999
"290","Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,,87,92,,2,,9.77,3,,,-9999
"291","Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,,87,92,,2,,9.77,44,,,-9999
"292","Julian Blackmon","DB","NO",98.1,,0.0388,,,8.54,,,,,,,1,,4.54,89,,,-9999
"293","Reed Blankenship","DB","PHI",98.1,6.51,2.16,93.9,103,8.5,9.63,4.59,,95,101,,2,,6.7,23,,,-9999
"294","Fred Warner","LB","SF",97.4,0.99,2.22,96.6,98,8.11,9.36,7.02,,96,93,,1,,16.2,2,,,-9999
"295","Budda Baker","DB","ARI",95.9,2.9,5.3,94,98,6.34,9.78,-0.221,,94,135,,3,,9.65,2,,,-9999
"296","Robert Spillane","LB","NE",95.1,3.25,0.762,93,97.5,5.89,5.78,6.55,,104,95,,1,,9.48,25,,,-9999
"297","Foyesade Oluokun","LB","JAC",94.4,6.36,3.2,90.3,99,5.13,3.03,8.08,,111,89,,2,,24.4,41,,,-9999
"298","Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,4.12,3.81,4.71,,107,100,,2,,7.08,31,,,-9999
"299","Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,4.12,3.81,4.71,,107,100,,2,,7.08,91,,,-9999
"300","T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.47,2.17,4.05,,115,103,,2,,16.2,28,,,-9999
"301","T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.47,2.17,4.05,,115,103,,2,,16.2,74,,,-9999
"302","Aidan Hutchinson","DL","DET",46.2,4.24,0.484,43.1,48.9,3.35,3.04,3.07,,110,109,,2,,18,14,,,-9999
"303","Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.87,1.82,4.28,,117,102,,2,,7.1,32,,,-9999
"304","Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.87,1.82,4.28,,117,102,,2,,7.1,76,,,-9999
"305","Anfernee Jennings","DL","NE",45,,1.62,,,2.13,,,,,,,3,,,95,,,-9999
"306","Daiyan Henley","LB","LAC",91.2,1.27,0.194,90.2,92,1.93,2.97,1.02,,112,121,,2,,6.89,34,,,-9999
"307","T.J. Edwards","LB","CHI",91,1.48,1.2,90,92.1,1.73,2.76,1.1,,114,119,,2,,11.1,19,,,-9999
"308","Kevin Byard","DB","CHI",90.6,11.6,1.04,83.2,99.1,1.04,-1.09,0.866,,137,124,,3,,9.22,42,,,-9999
"309","Ernest Jones","LB","SEA",89.8,3.39,0.305,87.3,91.9,0.537,0.0173,0.984,,129,123,,2,,10.1,27,,,-9999
"310","Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.505,1.18,-0.0513,,121,133,,3,,6.14,49,,,-9999
"311","Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.505,1.18,-0.0513,,121,133,,3,,6.14,59,,,-9999
