"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",281,31.2,8.6,238,325,135,122,153,1,2,1,1,"1",3.01,64.5,58
"2","Austin Ekeler","RB","LAC",273,19.4,25.6,239,297,126,122,125,2,1,6,2,"2",5.09,59.8,4
"3","Travis Kelce","TE","KC",235,17.2,61.4,217,262,126,120,126,3,3,4,1,"1",7.08,57.4,17
"4","Justin Jefferson","WR","MIN",274,28.1,10.6,235,310,116,99.1,130,4,7,2,1,"1",1.96,64.5,52
"5","Ja'Marr Chase","WR","CIN",263,25.9,5.56,226,306,106,90.3,126,5,13,3,2,"1",4.69,59.9,45
"6","Patrick Mahomes","QB","KC",431,13,4.46,419,456,103,116,111,6,4,8,1,"1",14.5,42.1,1
"7","Saquon Barkley","RB","NYG",247,27.5,2.41,219,289,101,102,117,7,6,7,3,"2",10.4,51.7,45
"8","Cooper Kupp","WR","LAR",258,23.3,4.62,226,286,100,90,107,8,14,10,3,"1",9.02,53.4,38
"9","Josh Allen","QB","BUF",427,27.9,7.88,393,470,98.8,90.6,125,9,11,5,2,"1",19.4,37,26
"10","Nick Chubb","RB","CLE",245,25,0.563,212,277,98.3,95.6,105,10,9,11,4,"2",10.6,52.3,31
"11","Derrick Henry","RB","TEN",244,14.1,1.76,220,259,97.8,104,86.9,11,5,18,5,"2",14.4,48.4,1
"12","Tony Pollard","RB","DAL",242,24.9,3.78,207,279,96,90.3,108,12,12,9,6,"2",15.1,46.1,32
"13","Tyreek Hill","WR","MIA",253,18.1,12.6,222,273,95.6,86.8,93.2,13,15,14,4,"2",8.15,55.5,8
"14","Josh Jacobs","RB","LVR",238,22.2,2.16,210,268,92.2,93.8,95.8,14,10,12,7,"3",18.8,41.4,28
"15","Jalen Hurts","QB","PHI",419,19.9,36.7,388,437,90.9,84.9,92.8,15,16,16,3,"2",20.7,36.4,6
"16","Bijan Robinson","RB","ATL",236,20.3,5.96,213,267,90.1,96.6,95.2,16,8,13,8,"3",8.58,61.3,10
"17","Jonathan Taylor","RB","IND",230,23.5,16.1,199,260,84.1,82.1,87.6,17,17,17,9,"4",22.4,39.5,34
"18","CeeDee Lamb","WR","DAL",241,27.8,2.98,205,272,83,69.2,93,18,21,15,5,"2",16,43.9,55
"19","Davante Adams","WR","LVR",238,21.6,6.31,204,265,80.1,68.5,85.1,19,22,20,6,"2",17,45.4,30
"20","Stefon Diggs","WR","BUF",231,19.1,13.8,212,262,73.8,76.8,82.6,20,19,22,7,"3",12.9,49.1,13
"21","Joe Mixon","RB","CIN",214,23.7,3.91,195,257,68,78.8,85.3,21,18,19,10,"4",31.1,32.5,44
"22","Mark Andrews","TE","BAL",173,14.6,17.3,155,191,64.7,57.8,54.8,22,27,34,2,"2",32.9,26.5,14
"23","Aaron Jones","RB","GB",210,16.6,2.15,189,233,64.1,72.9,60.7,23,20,29,11,"4",36.7,28.4,13
"24","Najee Harris","RB","PIT",208,26.7,3.77,164,240,61.9,47.5,68,24,32,25,12,"4",29.6,31.3,59
"25","A.J. Brown","WR","PHI",218,29,1.37,183,264,60,47.3,85,25,33,21,8,"3",15.9,42.8,69
"26","Amon-Ra St. Brown","WR","DET",216,15.6,7.45,199,236,58.6,63.7,56.2,26,24,32,9,"4",21,40.1,1
"27","Rhamondre Stevenson","RB","NE",204,24,4.05,177,233,58.2,60.8,61.4,27,26,28,13,"5",33.1,26.6,35
"28","Joe Burrow","QB","CIN",382,23,7.93,352,413,54.2,49.7,68.5,28,31,24,4,"2",36.3,25,20
"29","Travis Etienne","RB","JAC",200,17.2,0.451,178,224,54.1,61.2,52.5,29,25,37,14,"5",31.2,29.3,7
"30","Kenneth Walker III","RB","SEA",200,25.1,7.16,168,239,53.7,51.1,67.1,30,30,26,15,"5",44.4,18.8,55
"31","Garrett Wilson","WR","NYJ",209,24.3,2.64,182,253,51.2,46.4,74.1,31,34,23,10,"4",20.2,39.4,44
"32","Jaylen Waddle","WR","MIA",206,18.8,10.6,179,226,48.5,43.4,46.7,32,36,41,11,"4",26,33.8,14
"33","T.J. Hockenson","TE","MIN",156,12.7,3.53,138,172,47.4,40.9,35.8,33,39,50,3,"2",48.8,17.9,23
"34","Alexander Mattison","RB","MIN",193,16.8,0.644,173,215,46.5,56.1,43.4,34,29,44,16,"5",57.7,17.3,23
"35","Lamar Jackson","QB","BAL",374,19.4,10.8,345,405,46.3,42.3,60.1,35,37,30,5,"3",35.6,27,17
"36","James Conner","RB","ARI",192,13.7,1.23,180,210,45.8,63.8,38.1,36,23,46,17,"5",61,15.7,3
"37","Dameon Pierce","RB","HOU",191,22,1.7,174,234,44.6,57.3,61.8,37,28,27,18,"5",47.1,18.3,42
"38","George Kittle","TE","SF",152,18.7,6.01,132,180,43.9,35,44.2,38,50,42,4,"3",51.8,16.3,49
"39","Jahmyr Gibbs","RB","DET",189,19.2,0.834,158,210,42.9,41.5,38.3,39,38,45,19,"5",34.6,33.9,21
"40","Miles Sanders","RB","CAR",188,27.6,4.1,157,227,42.1,40.2,55.5,40,41,33,20,"6",53.9,16.5,65
"41","J.K. Dobbins","RB","BAL",184,28.5,1.57,154,226,38,37.9,53.7,41,48,36,21,"6",56.9,15.1,69
"42","Deebo Samuel","WR","SF",195,21.3,0.366,174,227,37.9,38.1,47.8,42,47,40,12,"4",37.6,23.2,48
"43","Darren Waller","TE","NYG",146,10.5,10.6,136,162,37.9,38.2,26.1,43,46,60,5,"3",56.1,14.8,9
"44","Chris Olave","WR","NO",195,19.7,0.098,171,227,37.6,35.4,48,44,49,39,13,"4",30.4,31.2,21
"45","Tee Higgins","WR","CIN",195,16.3,2.32,174,216,37.5,38.4,36.8,45,45,48,14,"4",33.5,27.7,10
"46","Breece Hall","RB","NYJ",183,18.5,0.127,161,210,36.4,44.5,38,46,35,47,22,"6",45.2,21.6,27
"47","Rachaad White","RB","TB",183,21.7,7.82,148,207,36.3,31.3,35.5,47,54,51,23,"6",72,12,38
"48","Justin Herbert","QB","LAC",363,21.6,13.7,342,401,35.5,39.5,56.9,48,42,31,6,"3",44.8,20.2,23
"49","DeVonta Smith","WR","PHI",193,21.8,0.588,175,233,35.1,38.9,53.9,49,43,35,15,"4",31.8,27.7,39
"50","DK Metcalf","WR","SEA",192,19.7,1.11,162,216,34.6,26.2,36.3,50,60,49,16,"4",36.5,26.8,25
"51","Amari Cooper","WR","CLE",191,18.6,0.235,170,224,33.4,34.5,44.2,51,51,43,17,"4",42.3,21.2,20
"52","Christian Watson","WR","GB",191,15.3,0.317,174,214,33.2,38.6,34.6,52,44,52,18,"5",55.8,13.4,17
"53","Jalen Pitre","DB","HOU",138,7.93,27.1,131,146,33,40.3,21.4,53,40,66,1,"1",NA,10.4,13
"54","Calvin Ridley","WR","JAC",190,18.3,5.47,167,212,32.9,31.7,32.4,54,53,54,19,"5",36.6,24.7,28
"55","Cam Akers","RB","LAR",175,20.2,2.21,141,203,28.5,25,30.9,55,61,57,24,"6",60.6,14.9,30
"56","Keenan Allen","WR","LAC",185,14.1,5.1,167,202,27.4,31.1,22.3,56,56,65,20,"5",46.8,22.9,3
"57","Dallas Goedert","TE","PHI",136,15.6,0.0602,116,153,27.3,18.8,16.4,57,69,83,6,"3",65.6,10.6,37
"58","Kyle Pitts","TE","ATL",136,7.11,12,129,148,27.3,31.2,12.1,58,55,94,7,"4",65.5,10.5,3
"59","Isiah Pacheco","RB","KC",173,15.4,2.45,147,190,26.2,30.5,18.2,59,57,80,25,"6",70.8,10.2,8
"60","James Cook","RB","BUF",170,17.5,1.87,145,197,23.8,28.1,24.9,60,59,61,26,"6",73.3,11.8,20
"61","Mike Evans","WR","TB",180,24.1,0.0649,151,211,22.3,15.2,31.3,61,73,55,21,"5",76.2,12.9,62
"62","Terry McLaurin","WR","WAS",180,27.5,0.408,153,229,22.3,17.5,49.4,62,71,38,22,"5",60,13,76
"63","Javonte Williams","RB","DEN",168,32.9,0.722,128,203,21.9,11.3,31,63,86,56,27,"6",72,13,79
"64","Mike Williams","WR","LAC",179,20.5,2.48,150,213,21.8,14.4,33.5,64,76,53,23,"5",67.9,11.6,49
"65","Justin Fields","QB","CHI",350,14.8,10.3,331,374,21.7,28.3,29.5,65,58,58,7,"4",46.9,18.7,9
"66","David Montgomery","RB","DET",167,16.1,3.9,150,188,21.2,33.2,16.4,66,52,84,28,"7",77.3,10.7,11
"67","Foyesade Oluokun","LB","JAC",143,33.6,3.27,124,181,20,22.5,18.2,67,66,79,1,"1",NA,18.5,49
"68","D.J. Moore","WR","CHI",177,13.5,0.689,160,200,19.4,24.4,20.2,68,62,72,24,"5",52,15.7,7
"69","Christian Kirk","WR","JAC",176,18.4,1.18,156,206,18.7,20.6,26.6,69,67,59,25,"5",76.4,9.34,37
"70","Chris Godwin","WR","TB",175,19.3,0.638,151,203,17.5,15.8,23.2,70,72,64,26,"5",75.9,11.7,35
"71","Alvin Kamara","RB","NO",164,14.4,5.44,139,178,17.3,22.7,6.07,71,65,107,29,"7",69.4,17.2,15
"72","DeAndre Hopkins","WR","TEN",174,13.1,3.45,159,194,16.9,23.8,14.3,72,63,88,27,"6",57.6,16.5,6
"73","Roquan Smith","LB","BAL",139,36,5.1,116,180,16.7,14.9,17.6,73,74,82,2,"1",NA,16.2,57
"74","Evan Engram","TE","JAC",124,8.17,2.14,116,138,15.3,18.5,2.07,74,70,120,8,"5",84.3,6.76,1
"75","Tyler Lockett","WR","SEA",171,23.1,4.96,148,203,13.4,12.4,23.8,76,81,62,28,"6",70.1,11.5,54
"76","Maxx Crosby","DL","LVR",88,20.4,3.16,75.1,111,13.4,6.51,20.5,75,102,70,1,"1",NA,12.4,80
"77","Pat Freiermuth","TE","PIT",122,10.7,5.14,108,140,13.2,10.1,4.1,77,91,114,9,"5",92.5,4.96,6
"78","D'Andre Swift","RB","PHI",158,20.9,3.32,126,185,11.9,10.1,13.3,78,90,89,30,"7",78.3,9.14,41
"79","Zaire Franklin","LB","IND",134,34.1,1.77,115,173,11.6,14.3,10.5,79,77,99,3,"1",NA,17.2,51
"80","Deshaun Watson","QB","CLE",339,20.4,3.06,312,365,11.4,8.94,20.6,80,92,69,8,"4",79.9,8.5,34
"81","Justin Tucker","K","BAL",152,13.3,0.877,139,174,10.7,10.2,18.9,81,89,78,1,"1",103,5.23,68
"82","Micah Parsons","DL","DAL",84.9,5.59,1.38,81.3,89,10.3,12.7,-1.86,82,80,142,2,"1",NA,17.4,33
"83","Nick Bolton","LB","KC",132,43.1,2.73,107,182,9.83,5.84,19,83,103,77,4,"1",NA,12.5,86
"84","Daniel Carlson","K","LVR",151,14.9,5.11,133,176,9.82,4.52,21.3,84,109,67,2,"1",127,2.52,81
"85","T.J. Watt","DL","PIT",83.5,5.37,1.49,79.5,86.9,8.89,11,-3.9,85,87,153,3,"1",NA,10.1,29
"86","Dalvin Cook","RB","NYJ",155,31.4,1.76,116,190,8.54,0,18.1,86,130,81,31,"7",71.7,13.8,77
"87","Drake London","WR","ATL",166,12.8,0.744,155,190,8.45,19.7,10.1,87,68,102,29,"6",70.3,10.8,4
"88","Kirk Cousins","QB","MIN",336,6.54,2.87,326,344,8.38,23.4,0,88,64,130,9,"4",101,7.52,3
"89","David Njoku","TE","CLE",117,15.1,2.76,99.3,140,8.02,1.91,3.86,89,121,115,10,"5",96.9,4.93,34
"90","Brandon Aiyuk","WR","SF",165,19.6,0.108,146,201,7.71,10.7,21.1,90,88,68,30,"6",74.5,10.9,42
"91","Jerry Jeudy","WR","DEN",165,20,1.21,139,199,7.6,3.77,20,91,113,73,31,"6",67.7,10.7,72
"92","Myles Garrett","DL","CLE",82,19.3,3.43,71.2,104,7.41,2.67,13.3,92,117,90,4,"2",NA,11.8,78
"93","Frankie Luvu","LB","CAR",130,21.8,2.24,116,155,7.1,14.7,-8.23,93,75,185,5,"1",NA,10.7,10
"94","AJ Dillon","RB","GB",153,19,0.35,123,177,6.78,6.77,4.86,94,101,113,32,"7",95.4,6.27,18
"95","Khalil Herbert","RB","CHI",153,20.2,5.54,130,186,6.43,13.9,14.4,95,78,87,33,"8",90.8,9.06,39
"96","Marquise Brown","WR","ARI",164,15.7,0.855,147,186,6.39,11.4,6.65,96,85,106,32,"6",94,6.4,27
"97","Antoine Winfield","DB","TB",111,18.9,0.365,98.9,132,5.88,8.71,8.1,97,94,105,2,"1",NA,6.38,63
"98","Diontae Johnson","WR","PIT",163,13.2,1.12,143,181,5.54,7.84,1.66,98,97,122,33,"6",83,11,11
"99","Trevor Lawrence","QB","JAC",333,18.4,0.609,314,364,5.51,11.5,19.2,100,84,75,10,"4",58.2,15.6,11
"100","Budda Baker","DB","ARI",110,23.2,2.13,95.5,137,5.51,5.26,12.6,99,105,92,3,"1",NA,7.8,78
"101","Dalton Schultz","TE","HOU",114,11.8,1.32,101,131,5.26,3.51,-5,101,114,162,11,"5",123,3.61,26
"102","Eagles","DST","PHI",102,8.85,1.65,93.8,116,5.03,8.93,4.97,102,93,111,1,"1",113,2.34,23
"103","Dak Prescott","QB","DAL",333,18.7,1.64,316,355,4.9,13.4,10.1,103,79,101,11,"4",89.9,8.59,31
"104","C.J. Mosley","LB","NYJ",127,24.9,3.12,113,156,4.86,11.6,-6.78,104,83,182,6,"1",NA,14.9,18
"105","Younghoe Koo","K","ATL",146,6.19,1.79,136,153,4.71,6.98,-2.04,105,100,143,3,"1",154,2.04,3
"106","Michael Pittman","WR","IND",162,26.9,4.28,123,198,4.41,-12.2,19,106,224,76,34,"6",90.1,7.49,79
"107","Aaron Donald","DL","LAR",78.6,20.7,1.32,66.4,102,3.98,-2.11,11.5,107,139,98,5,"2",NA,12.7,82
"108","Tyler Higbee","TE","LAR",112,9.5,3.94,97.4,122,3.94,0,-14.5,108,130,240,12,"6",140,2.79,11
"109","Patriots","DST","NE",100,15.1,3.38,79.6,124,3.38,-5.26,12.9,110,155,91,2,"2",137,1.62,84
"110","Derwin James","DB","LAC",108,24.6,1.45,92.8,136,3.38,2.56,12.1,109,118,93,4,"1",NA,14.3,83
"111","Daniel Jones","QB","NYG",331,23.3,3.26,303,368,3.26,0,23.7,111,130,63,12,"5",110,6.49,43
"112","Evan McPherson","K","CIN",144,13.6,1.06,132,170,2.93,2.8,15.2,112,116,86,4,"1",137,2.9,65
"113","Nick Bosa","DL","SF",77.2,22.4,1.41,57.4,101,2.66,-11.2,10.4,113,214,100,6,"2",NA,12.6,93
"114","Jordan Battle","DB","CIN",107,NA,0.95,NA,NA,1.93,NA,NA,114,NA,NA,5,"1",NA,4.01,NA
"115","Harrison Butker","K","KC",143,12.9,1.13,120,160,1.86,-8.45,5.63,115,187,108,5,"1",134,3.08,55
"116","Alex Singleton","LB","DEN",124,51.4,0.32,95,183,1.74,-6.13,20.5,116,164,71,7,"1",NA,7.56,98
"117","Jacob Phillips","LB","CLE",124,NA,1.06,NA,NA,1.42,NA,NA,117,NA,NA,8,"1",NA,NA,NA
"118","Kayvon Thibodeaux","DL","NYG",75.8,11.8,0.425,68.5,89.3,1.25,0,-1.48,118,130,140,7,"2",NA,8.76,49
"119","Mike Edwards","DB","KC",106,24.7,0.302,89,123,0.98,-1.26,-1.35,119,136,139,6,"1",NA,NA,85
"120","Brian Robinson","RB","WAS",147,24.2,0.894,122,184,0.894,5.39,12,120,104,95,34,"8",94.6,6.31,49
"121","Haason Reddick","DL","PHI",75.4,5.52,0.0399,71.9,79.5,0.827,3.34,-11.4,121,115,201,8,"2",NA,9.22,31
"122","Will Anderson","DL","HOU",75.4,8.2,0.787,70.1,81.4,0.787,1.58,-9.42,122,123,188,9,"3",68.9,NA,40
"123","Graham Gano","K","NYG",142,8.73,0.000398,129,152,0.732,0,-3.33,123,130,150,6,"1",164,1.83,19
"124","Jason Myers","K","SEA",142,7.26,0.732,133,150,0.732,4.22,-4.83,124,111,160,7,"1",159,1.89,16
"125","Minkah Fitzpatrick","DB","PIT",106,16.3,0.332,92.5,123,0.678,2.33,-0.859,125,120,137,7,"1",NA,10.9,48
"126","Logan Wilson","LB","CIN",123,25.2,0.357,109,152,0.357,7.67,-11,126,99,199,9,"1",NA,7.54,22
"127","Chauncey Gardner-Johnson","DB","DET",105,12.5,0.274,97.9,119,0.346,7.72,-4.95,127,98,161,8,"1",NA,8.57,33
"128","George Pickens","WR","PIT",158,16.6,0.13,144,189,0.13,8.13,9.84,128,96,103,35,"6",82.4,9.9,32
"129","Harrison Smith","DB","MIN",105,12.6,0.0728,94.1,118,0.0728,3.84,-6.16,129,112,174,9,"1",NA,5.42,37
"130","Geno Smith","QB","SEA",328,14.8,9.01,308,347,0,5.02,2.4,130,107,119,13,"5",116,6.38,14
"131","Antonio Gibson","RB","WAS",146,15.7,11,128,172,0,12.1,0,130,82,130,35,"8",109,6.22,6
"132","Jahan Dotson","WR","WAS",158,13.3,5.35,144,179,0,8.53,0,130,95,130,36,"7",92,5.76,15
"133","Juwan Johnson","TE","NO",108,20.2,0.00934,89.3,139,0,-8.12,2.94,130,184,117,13,"6",136,3.88,71
"134","Tyler Bass","K","BUF",141,11.1,2.73,121,154,0,-7.8,-0.638,130,181,134,8,"2",135,2.29,32
"135","Cowboys","DST","DAL",96.6,9.26,0.82,84.3,107,0,-0.613,-3.76,130,134,152,3,"3",113,2.61,26
"136","Harold Landry","DL","TEN",74.6,7,0.086,70.1,79.7,0,1.56,-11.1,130,124,200,10,"3",NA,7.66,36
"137","Bobby Wagner","LB","SEA",123,30.1,0.273,103,157,0,1.72,-5.89,130,122,169,10,"1",NA,17,37
"138","Jaquan Brisker","DB","CHI",105,28.1,2.13,83.1,136,0,-7.15,11.7,130,174,97,10,"1",NA,10.1,91
"139","Chigoziem Okonkwo","TE","TEN",108,11,0.8,98.8,130,-0.00934,1.38,-6.29,131,125,177,14,"6",142,3.21,20
"140","Jonathan Allen","DL","WAS",74.5,19,0.213,61.6,96.1,-0.086,-6.93,5.31,132,172,109,11,"3",NA,6.24,76
"141","Fred Warner","LB","SF",122,45.5,0.386,96.7,175,-0.273,-4.39,11.7,133,150,96,11,"1",NA,10.9,88
"142","Danielle Hunter","DL","MIN",74.3,17.6,0.165,62.7,94.4,-0.299,-5.88,3.59,134,161,116,12,"3",NA,11,69
"143","Aidan Hutchinson","DL","DET",74.1,0.455,1.92,73.6,74.5,-0.464,5.08,-16.3,135,106,255,13,"3",NA,NA,2
"144","Bobby Okereke","LB","NYG",122,40,3.76,97.2,168,-0.66,-3.89,4.88,136,148,112,12,"1",NA,14.9,76
"145","Cole Kmet","TE","CHI",108,13.7,3.06,85.7,123,-0.81,-11.7,-13.4,137,218,221,15,"6",130,2.65,46
"146","Chiefs","DST","KC",95.8,7.74,3.36,84.9,106,-0.82,0,-4.83,138,130,159,4,"4",159,0.71,10
"147","Marcus Maye","DB","NO",103,8.23,0.964,94.8,110,-2.13,4.55,-14,139,108,235,11,"1",NA,3.07,15
"148","Zaven Collins","DL","ARI",72.2,NA,0.0345,NA,NA,-2.39,NA,NA,140,NA,NA,14,"3",NA,NA,NA
"149","Cameron Jordan","DL","NO",72.2,15.7,1.54,62.6,90.1,-2.42,-5.95,-0.716,141,162,136,15,"3",NA,5.88,62
"150","Brett Maher","K","DEN",138,19.1,0.98,117,171,-2.73,-11.7,16,142,217,85,9,"2",172,1.99,94
"151","Kamren Curl","DB","WAS",102,27.8,1.9,85.7,134,-3.1,-4.52,9.32,143,151,104,12,"1",NA,4.8,89
"152","Greg Joseph","K","MIN",137,5.84,0.0276,129,147,-3.71,0.39,-8.12,144,127,183,10,"2",173,1.51,13
"153","Riley Patterson","K","DET",137,10.8,0.827,125,155,-3.73,-4.22,0,145,149,130,11,"2",175,1.96,48
"154","Greg Dulcich","TE","DEN",105,10.9,0.576,90.8,118,-3.87,-6.59,-17.8,146,170,265,16,"6",143,1.46,40
"155","Christian Wilkins","DL","MIA",70.6,2.47,0.118,69,72.4,-3.96,0.49,-18.4,147,126,273,16,"3",NA,7.87,18
"156","Brian Burns","DL","CAR",70.5,12,1.13,63.3,84.3,-4.08,-5.28,-6.52,148,156,179,17,"4",NA,8.16,51
"157","Steelers","DST","PIT",92.4,11.7,0.129,79.3,111,-4.18,-5.54,0,149,159,130,5,"4",138,1.78,61
