"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_tds","return_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"55","Leonard Fournette","TB","RB","2557973","robust",NA,NA,NA,NA,NA,NA,964.3225,55.1749589999999,9.1,0.934038000000001,1.43333333333333,0,0,NA,65.525,6.6717,446,42.9954,2.18284482758621,0.659757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Breece Hall","NYJ","RB","2568030","robust",NA,NA,NA,NA,NA,NA,926.1975,144.397827,6.11,0.96369,1.8,0,0.17,0,37.95,5.700597,303.2525,48.25863,1.505,0.429954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Aaron Jones","GB","RB","2558116","robust",NA,NA,NA,NA,NA,NA,916.6,112.82586,6.025,1.341753,1.495,0.00370649999999992,0,NA,62.665,6.22692,500.75,61.5279,3.95,0.81543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Dameon Pierce","HOU","RB","2567685","robust",NA,NA,NA,NA,NA,NA,696.375,418.500915,5.065,1.63086,1.2775,0.01667925,0.05,0,24.315,15.5673,191.495,128.2449,0.83,0.911799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Josh Jacobs","LVR","RB","2562377","robust",NA,NA,NA,NA,NA,NA,975.205,106.7472,8,1.4826,2.2375,0.0370649999999999,0,NA,39.25,6.404832,280.75,40.171047,0.82378640776699,1.08611245631068,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","David Montgomery","CHI","RB","2562502","robust",NA,NA,NA,NA,NA,NA,992.875,66.6502829999999,7.7475,1.252797,1.53125,0.1297275,0.53,0,45.64,4.032672,363.1,42.832314,1.87692307692308,0.182473846153846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"61","James Conner","ARI","RB","2557978","robust",NA,NA,NA,NA,NA,NA,918.8825,86.309559,10.15,1.304688,1.2925,0.22794975,0,NA,45.47,6.00453,378.25,46.7019,2.2975,0.252042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Damien Harris","NE","RB","2562281","robust",NA,NA,NA,NA,NA,NA,976.75,29.844738,9.21,1.282449,1.454375,0.05374425,0.03,0,17.9375,3.63237,136.4075,58.836981,0.335,0.496671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"63","Antonio Gibson","WAS","RB","2565276","robust",NA,NA,NA,NA,NA,NA,766.205,40.69737,5.515,0.7413,2.27,0.348411,0.57,0,32.54,2.2239,252.8075,65.130618,1.4425,0.629743390243902,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Brian Robinson","WAS","RB","2568348","robust",NA,NA,NA,NA,NA,NA,688.7675,138.674991,4.9375,0.618066794871795,1.456875,0.25389525,0.17,0,21.51,5.55975,155.86,62.106114,0.5925,0.671795205128205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Devin Singletary","BUF","RB","2562734","robust",NA,NA,NA,NA,NA,NA,879.1275,59.304,6.27268595041322,1.994097,0.9875,0.23165625,0.01,0,35.3,3.63237,241.135,44.433522,1.30481404958678,0.288555619834711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Travis Etienne","JAC","RB","2566157","robust",NA,NA,NA,NA,NA,NA,828.025,114.9015,5.55,0.844480945945946,2.18,0.355824,0.17,0,50.285,5.166861,404.55,85.2495,2.115,0.429954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Kenneth Walker III","SEA","RB","2568282","robust",NA,NA,NA,NA,NA,NA,702.0125,40.1043299999999,4.4025,1.18031433333333,1.49666666666667,0,0.05,0,19.8375,13.19514,149.5,99.749328,0.7025,0.429954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Abdomen",0,2022
"68","AJ Dillon","GB","RB","2563986","robust",NA,NA,NA,NA,NA,NA,803.7025,68.57025,6.3825,1.00955417073171,1.11,0.0667170000000001,0.01,0,34.85,6.30105,295.27,89.667648,1.75,0.37065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Chase Edmonds","MIA","RB","2560711","robust",NA,NA,NA,NA,NA,NA,714.5,146.0361,3.815,1.304688,1.3,0,0.09,0,49.44,9.56277,362.175,72.758595,1.4575,0.545467252427184,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Clyde Edwards-Helaire","KC","RB","2564271","robust",NA,NA,NA,NA,NA,NA,814.1525,64.4931,5.86730769230769,0.919212,1.555,0.1074885,0.04,0,35.545,1.59379499999999,262.71,10.52646,2,0.185325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Melvin Gordon","DEN","RB","2552469","robust",NA,NA,NA,NA,NA,NA,762.1525,87.54753,5.825,0.59304,2.5675,0.29466675,0.04,0,26.1,3.11346,194.925,19.2738,1.51,0.711648,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Tony Pollard","DAL","RB","2562699","robust",NA,NA,NA,NA,NA,NA,742.18,58.1772239999999,3.4525,0.96369,1.1,0,0,NA,45.935,5.73766200000001,376.825,38.377101,1.825,0.882820909090909,0.18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Rhamondre Stevenson","NE","RB","2566343","robust",NA,NA,NA,NA,NA,NA,766.5,66.93939,5.7563025210084,0.361305882352941,0.82,0.133434,0.03,0,30.575,4.010433,255.6,72.454662,1.0975,0.704235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Marlon Mack","HOU","RB","2558123","robust",NA,NA,NA,NA,NA,NA,552.25,181.6185,3.175,1.11195,0.8625,0.10192875,0.57,0,14.075,6.493788,107.15,49.259385,0.389166666666667,0.511497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Cordarrelle Patterson","ATL","RB","2540145","robust",NA,NA,NA,NA,NA,NA,628.81,95.716656,4.89183673469388,0.756126,1.13333333333333,0,0,NA,43.475,5.196513,407.3675,45.2193,2.67448979591837,1.20287271428571,1.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Darrell Henderson","LAR","RB","2562574","robust",NA,NA,NA,NA,NA,NA,503.825,113.19651,3.60714285714286,1.149015,0.9,0,0.03,0,24.575,2.824353,173.695,23.506623,1.3325,0.630105,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"77","Kareem Hunt","CLE","RB","2557917","robust",NA,NA,NA,NA,NA,NA,639.1,121.5732,5.48,1.70499,0.933333333333333,0,0.54,0,39.8,5.9304,306.605,38.32521,1.775,0.96369,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","James Robinson","JAC","RB","2564223","robust",NA,NA,NA,NA,NA,NA,654.96,123.0558,5.125,1.70499,1.6025,0.29466675,0.05,0,23.965,5.9304,177.4725,20.45988,0.85,0.1223145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Achilles",0,2022
"79","Michael Carter","NYJ","RB","2566382","robust",NA,NA,NA,NA,NA,NA,567.605,113.782137,3.155,1.230558,0.924375,0.02409225,0.05,0,29.73,5.41149,249.275,42.113253,0.971029411764706,0.366289411764706,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Jamaal Williams","DET","RB","2558204","robust",NA,NA,NA,NA,NA,NA,553.52,52.6323,3.15,0.29652,1.33333333333333,0,0.53,0,24.745,4.59606,159.5,28.9107,0.822852112676056,0.221345915492958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","James Cook","BUF","RB","2567328","robust",NA,NA,NA,NA,NA,NA,459.85,133.723107,2.84,1.40304585365854,1.065625,0.0648637499999999,0.07,0,31.02,13.26927,237,98.355684,1.5,0.919212,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Raheem Mostert","MIA","RB","2553728","robust",NA,NA,NA,NA,NA,NA,607.6,44.374218,3.95,1.58013947368421,0.949375,0.05003775,0,NA,15.5,3.11346,125.15,22.09074,0.842105263157895,0.208734473684211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Gus Edwards","BAL","RB","2561324","robust",NA,NA,NA,NA,NA,NA,502.1,41.5128,3.07877551020408,0.756126,0.576875,0.01297275,0.41,0,7.975,1.986684,72.0025,33.276957,0.1625,0.152042142857143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knee - ACL",0,2022
"84","Sony Michel","MIA","RB","2560809","robust",NA,NA,NA,NA,NA,NA,409.3625,89.91969,2.2,0.385476,0.405,0.140847,0.01,0,9.835,3.054156,58.41,2.9652,0.13,0.14826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Isiah Pacheco","KC","RB","2567808","robust",NA,NA,NA,NA,NA,NA,333.11,161.810964,2.655,1.01421768965517,0.795,0.0778365,0.05,0,18,10.949001,146.75,97.058409,0.682959770114943,0.7413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","DOnta Foreman","CAR","RB","2557994","robust",NA,NA,NA,NA,NA,NA,442.3675,148.77891,2.8,0.29652,0.96,0.029652,0.02,0,9.59,5.470794,92.195,50.512182,0.31,0.433375384615385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Tyler Allgeier","ATL","RB","2567232","robust",NA,NA,NA,NA,NA,NA,419.545,116.636142,2.82,1.297275,1.23375,0.0333585000000001,0.05,0,15.63,8.984556,108.8525,56.56119,0.625,0.7413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Rex Burkhead","HOU","RB","2539265","robust",NA,NA,NA,NA,NA,NA,311.15,38.84412,2.2,0.0559344545454545,0.6,0,0,NA,27.0025,4.529343,219.95,44.937606,1.00363636363636,0.0781734545454545,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Mark Ingram","NO","RB","2495466","robust",NA,NA,NA,NA,NA,NA,484.55,94.66401,2.5475,1.267623,1.116875,0.01667925,0.53,0,22.275,5.55975,159.95,27.4281,0.522674418604651,0.422541,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Khalil Herbert","CHI","RB","2565926","robust",NA,NA,NA,NA,NA,NA,408.52,70.4235,2.41,0.696822,0.795,0.0778365,0.03,0,16.375,2.59455,119.0125,15.5673,0.44,0.652344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"91","Zamir White","LVR","RB","2567883","robust",NA,NA,NA,NA,NA,NA,401.15,75.6126,3.02,1.423296,1.06666666666667,0,0,NA,16.835,5.441142,124.775,44.478,0.74,0.237216,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Darrel Williams","ARI","RB","2560935","robust",NA,NA,NA,NA,NA,NA,356.735,138.77136,2.93,1.438122,1.06666666666667,0,0,NA,23.245,12.587274,204.035,114.471546,0.8,0.29652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Ronald Jones","KC","RB","2560770","robust",NA,NA,NA,NA,NA,NA,310.2725,160.335777,2.14928571428571,1.29198,0.785,0.0111195,0.01,0,8.75,3.713913,61.5,34.8411,0.121428571428571,0.1059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Alexander Mattison","MIN","RB","2562682","robust",NA,NA,NA,NA,NA,NA,467.465,32.6172,2.77,0.303933,0.92625,0.0259455,0,NA,26.625,2.44629,201.075,22.01661,1,0.051891,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Hassan Haskins","TEN","RB","2567649","robust",NA,NA,NA,NA,NA,NA,238.5,77.8365,1.8,0.7413,0.765,0.400302,0.05,0,8.5,5.1891,63.795,26.6868,0.2,0.252042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Tyrion Davis-Price","SF","RB","2568207","robust",NA,NA,NA,NA,NA,NA,290.6375,180.269334,2,0.563388,0.9225,0.022239,0.05,0,8.67,2.461116,57.4975,40.022787,0.285,0.385476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Kenneth Gainwell","PHI","RB","2566397","robust",NA,NA,NA,NA,NA,NA,382.375,76.3539,3.375,0.96369,1.176875,0.07598325,0.73,0,32.25,2.81694,259.775,21.4977,1.4125,0.519733666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Damien Williams","ATL","RB","2550512","robust",NA,NA,NA,NA,NA,NA,249.84,112.6776,1.5,1.200906,0.86375,0.1890315,0,NA,20.775,4.29954,146,57.8214,0.7075,0.44478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Rachaad White","TB","RB","2568315","robust",NA,NA,NA,NA,NA,NA,354.4375,33.58089,3.0375,0.467019,1.17,0.022239,0.05,0,22.255,8.96973,171.15,62.41746,1.1,0.22239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Isaiah Spiller","LAC","RB","2568189","robust",NA,NA,NA,NA,NA,NA,363,60.7866,2.17214285714286,1.03782,1.2,0,0,NA,19.8475,5.33736,152.5,51.164526,0.822857142857143,0.652344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Ankle",0,2022
"101","Jeffery Wilson","SF","RB","2560938","robust",NA,NA,NA,NA,NA,NA,407.5,94.8864,3.375,0,0.8,0.29652,0,NA,13.625,1.4826,103.25,37.065,0.6,0.44478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Mike Davis","BAL","RB","2553439","robust",NA,NA,NA,NA,NA,NA,315.875,161.23275,1.96,1.06477636363636,0.735,0.0037065,0.55,0,18.465,11.8608,119.475,75.508818,0.5025,0.59304,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Tevin Coleman","NYJ","RB","2552453","robust",NA,NA,NA,NA,NA,NA,305.7,194.51712,1.095,0.896973,0.533333333333333,0.17297,0,NA,11.65,2.676093,82.35,22.201935,0.085,0.07413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Myles Gaskin","MIA","RB","2562270","robust",NA,NA,NA,NA,NA,NA,228.1,129.80163,1,0.533736,0.493333333333333,0.00988399999999998,0.03,0,18.175,5.693184,87.15,26.175303,0.9,0.326172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Jerick McKinnon","KC","RB","2543715","robust",NA,NA,NA,NA,NA,NA,300.9275,109.349163,1.82352941176471,0.828075705882353,0.4475,0.03891825,0.55,0,30.475,9.162468,262.3,117.1254,1.47,0.489258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Boston Scott","PHI","RB","2561146","robust",NA,NA,NA,NA,NA,NA,327.065,59.200218,3.07894736842105,0.163086,0.2625,0.04633125,0,NA,12.475,5.78214,89.025,34.351842,0.1775,0.14826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Dontrell Hilliard","TEN","RB","2561461","robust",NA,NA,NA,NA,NA,NA,287.15,78.5778,1.87,0.51891,0.9275,0.05374425,0,NA,26.6275,5.352186,171.6,32.02416,0.665,0.366606545454546,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Chuba Hubbard","CAR","RB","2565899","robust",NA,NA,NA,NA,NA,NA,267.275,127.42947,1.88627906976744,0.913695348837209,0.6325,0.05003775,0.04,0,15.7,4.121628,110.99,38.69586,0.579360465116279,0.422541,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Cooper Kupp","LAR","WR","2557898","robust",NA,NA,NA,NA,NA,NA,23.5578571428571,6.250218,0.0766937052149915,0.07413,0.61,0.00741300000000001,0,NA,125.6,7.78365,1609.5175,87.4734,12.7,0.7413,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Justin Jefferson","MIN","WR","2564556","robust",NA,NA,NA,NA,NA,NA,17.8521428571429,6.974574,0,0,0.4075,0.14270025,0,NA,104.7975,7.70952,1549.6975,100.8168,10.0125,1.067472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
